2012-07-07 07:38:16 status config-files libboost-iostreams1.42.0:powerpc 1.42.0-4
2012-07-07 07:38:16 status config-files libboost-iostreams1.42.0:powerpc 1.42.0-4
2012-07-07 07:38:16 status config-files libboost-iostreams1.42.0:powerpc 1.42.0-4
2012-07-07 07:38:16 status config-files libboost-iostreams1.42.0:powerpc 1.42.0-4
2012-07-07 07:38:16 status config-files libboost-iostreams1.42.0:powerpc 1.42.0-4
2012-07-07 07:38:16 status not-installed libboost-iostreams1.42.0:powerpc <none>
2012-07-07 07:38:16 status config-files libboost-iostreams1.46.1:powerpc 1.46.1-8
2012-07-07 07:38:16 remove libboost-iostreams1.46.1:powerpc 1.46.1-8 <none>
2012-07-07 07:38:16 purge libboost-iostreams1.46.1:powerpc 1.46.1-8 <none>
2012-07-07 07:38:16 status config-files libboost-iostreams1.46.1:powerpc 1.46.1-8
2012-07-07 07:38:16 status config-files libboost-iostreams1.46.1:powerpc 1.46.1-8
2012-07-07 07:38:16 status config-files libboost-iostreams1.46.1:powerpc 1.46.1-8
2012-07-07 07:38:16 status config-files libboost-iostreams1.46.1:powerpc 1.46.1-8
2012-07-07 07:38:17 status config-files libboost-iostreams1.46.1:powerpc 1.46.1-8
2012-07-07 07:38:17 status not-installed libboost-iostreams1.46.1:powerpc <none>
2012-07-07 07:38:17 status config-files libboost-iostreams1.48.0:powerpc 1.48.0-3
2012-07-07 07:38:17 remove libboost-iostreams1.48.0:powerpc 1.48.0-3 <none>
2012-07-07 07:38:17 purge libboost-iostreams1.48.0:powerpc 1.48.0-3 <none>
2012-07-07 07:38:17 status config-files libboost-iostreams1.48.0:powerpc 1.48.0-3
2012-07-07 07:38:17 status config-files libboost-iostreams1.48.0:powerpc 1.48.0-3
2012-07-07 07:38:17 status config-files libboost-iostreams1.48.0:powerpc 1.48.0-3
2012-07-07 07:38:17 status config-files libboost-iostreams1.48.0:powerpc 1.48.0-3
2012-07-07 07:38:17 status config-files libboost-iostreams1.48.0:powerpc 1.48.0-3
2012-07-07 07:38:17 status not-installed libboost-iostreams1.48.0:powerpc <none>
2012-07-07 07:38:17 status config-files libc6-ppc64:powerpc 2.11.2-10
2012-07-07 07:38:17 remove libc6-ppc64:powerpc 2.11.2-10 <none>
2012-07-07 07:38:17 purge libc6-ppc64:powerpc 2.11.2-10 <none>
2012-07-07 07:38:17 status config-files libc6-ppc64:powerpc 2.11.2-10
2012-07-07 07:38:17 status config-files libc6-ppc64:powerpc 2.11.2-10
2012-07-07 07:38:17 status config-files libc6-ppc64:powerpc 2.11.2-10
2012-07-07 07:38:17 status config-files libc6-ppc64:powerpc 2.11.2-10
2012-07-07 07:38:18 status config-files libc6-ppc64:powerpc 2.11.2-10
2012-07-07 07:38:18 status not-installed libc6-ppc64:powerpc <none>
2012-07-07 07:38:18 status config-files libconsole:powerpc 1:0.2.3dbs-69.1
